;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;mse;rmse;mae;wape;mape;LOSS;VAL_LOSS
0;demand;lstm;0;{'layers': 1, 'units': 128, 'return_sequence': False, 'recurrent_dropout': 0, 'dense_dropout': 0.2, 'dense_layers': [32, 64, 128]};24;1.0;1;32;200;658;Adam;0.001;minmax;0.0301976203918457;47.97961950302124;1154407.2;679.2584;591.5283;0.0301572587658882;0.030635992;[0.043747350573539734, 0.02234366163611412, 0.02110455557703972, 0.020196324214339256, 0.019638177007436752, 0.01943378336727619, 0.01927245408296585, 0.01898828335106373, 0.018916673958301544, 0.01875990815460682, 0.01870344951748848, 0.018672099336981773, 0.01847180351614952, 0.018552446737885475, 0.01837644912302494, 0.01833580993115902, 0.018271055072546005, 0.01812494546175003, 0.01814100332558155, 0.01806936040520668, 0.018121667206287384, 0.018071692436933517, 0.018045349046587944, 0.017917076125741005];[0.0318872444331646, 0.027380287647247314, 0.026788607239723206, 0.02801845781505108, 0.025680892169475555, 0.02483951859176159, 0.024559391662478447, 0.024503981694579124, 0.025469880551099777, 0.025972845032811165, 0.024266352877020836, 0.026631973683834076, 0.02475825324654579, 0.024807974696159363, 0.024720724672079086, 0.023983484134078026, 0.02653401717543602, 0.023821404203772545, 0.023521913215517998, 0.024312246590852737, 0.02355952188372612, 0.02403602935373783, 0.02444942481815815, 0.02604973316192627]
1;demand;tcn;0;{'nb_stacks': 3, 'nb_filters': 64, 'dilations': [1, 2, 4, 8], 'kernel_size': 3, 'return_sequences': False, 'tcn_dropout': 0.2, 'dense_dropout': 0.2, 'dense_layers': [64, 32]};24;1.0;1;32;200;658;Adam;0.001;minmax;0.1464762687683105;246.3662326335907;1182005.75;685.7662963867188;583.3157348632812;0.0303066916891243;0.0308534316718578;[0.30169686675071716, 0.038231879472732544, 0.02877708338201046, 0.02546079270541668, 0.023485342040657997, 0.022424502298235893, 0.02148209512233734, 0.02109808474779129, 0.020578093826770782, 0.020422281697392464, 0.020098019391298294, 0.019746143370866776, 0.01948503963649273, 0.019541479647159576, 0.019274305552244186, 0.01908160001039505, 0.0188919585198164, 0.01904727891087532, 0.018841532990336418, 0.018800541758537292];[0.04173940047621727, 0.03152129054069519, 0.031406138092279434, 0.028990700840950012, 0.028547195717692375, 0.026539772748947144, 0.02699247933924198, 0.024772755801677704, 0.026160093024373055, 0.024924321100115776, 0.02538970485329628, 0.025184111669659615, 0.024394210427999496, 0.027441440150141716, 0.02335740625858307, 0.024682825431227684, 0.02425023727118969, 0.025384729728102684, 0.02408442460000515, 0.025701599195599556]
2;demand;mlp;0;{'hidden_layers': [32]};24;1.0;1;32;200;658;Adam;0.001;minmax;0.0070288181304931;33.60933804512024;1210090.875;678.1157836914062;589.958251953125;0.0309143056636396;0.0315469987690448;[0.054411835968494415, 0.023406943306326866, 0.021779954433441162, 0.020847473293542862, 0.02030828408896923, 0.019826740026474, 0.019519895315170288, 0.019231008365750313, 0.019067592918872833, 0.018926268443465233, 0.01869310811161995, 0.01865377649664879, 0.0184323787689209, 0.0184839628636837, 0.018337471410632133, 0.018266301602125168, 0.018186204135417938, 0.01819172501564026, 0.018043091520667076, 0.018023069947957993, 0.018105078488588333, 0.018057754263281822, 0.01796543225646019, 0.018021998926997185, 0.017922766506671906, 0.017872821539640427, 0.01786763221025467, 0.01784728467464447, 0.017844337970018387];[0.03132088854908943, 0.027148136869072914, 0.027173908427357674, 0.0257004015147686, 0.02634049952030182, 0.02606898918747902, 0.02386005036532879, 0.025076482445001602, 0.028134306892752647, 0.02370760217308998, 0.025740357115864754, 0.024842962622642517, 0.024768581613898277, 0.02398112416267395, 0.023629214614629745, 0.02403966896235943, 0.024461589753627777, 0.02335646189749241, 0.02405169978737831, 0.023545898497104645, 0.02360239252448082, 0.02326158806681633, 0.024350155144929886, 0.023234155029058456, 0.0233105830848217, 0.023433871567249298, 0.025184432044625282, 0.02359682135283947, 0.02598152868449688]
3;demand;lstm;0;{'layers': 1, 'units': 128, 'return_sequence': False, 'recurrent_dropout': 0, 'dense_dropout': 0.2, 'dense_layers': [32, 64, 128]};24;1.0;1;64;200;329;Adam;0.001;minmax;0.0202207565307617;15.881908416748049;1144054.0;638.9067993164062;545.8460083007812;0.028696279072825;0.0291330479085445;[0.06313204765319824, 0.02393265627324581, 0.022317858412861824, 0.02133151888847351, 0.020691663026809692, 0.020263547077775, 0.01980776898562908, 0.019690239802002907, 0.019261857494711876, 0.019057277590036392, 0.019166817888617516, 0.018855037167668343, 0.018783876672387123, 0.01859608106315136, 0.01859240047633648, 0.01855297200381756, 0.01837761700153351];[0.03374222666025162, 0.0298744048923254, 0.028811899945139885, 0.026930877938866615, 0.026569796726107597, 0.025855980813503265, 0.026758190244436264, 0.025116290897130966, 0.02556460350751877, 0.025084730237722397, 0.025104399770498276, 0.023921575397253036, 0.02409651316702366, 0.025132618844509125, 0.029126929119229317, 0.02408738061785698, 0.024036560207605362]
4;demand;tcn;0;{'nb_stacks': 3, 'nb_filters': 64, 'dilations': [1, 2, 4, 8], 'kernel_size': 3, 'return_sequences': False, 'tcn_dropout': 0.2, 'dense_dropout': 0.2, 'dense_layers': [64, 32]};24;1.0;1;64;200;329;Adam;0.001;minmax;43.24390411376953;102.41603136062622;1152463.25;651.29443359375;560.1620483398438;0.0295037406392202;0.0299467165023088;[0.49119502305984497, 0.05580899864435196, 0.03671491891145706, 0.03032853826880455, 0.027257418259978294, 0.02556535229086876, 0.024345703423023224, 0.02343907579779625, 0.022681349888443947, 0.02193884737789631, 0.021476581692695618, 0.021048391237854958, 0.020801838487386703, 0.02076651155948639, 0.02019488625228405, 0.019877620041370392, 0.019868144765496254, 0.019713956862688065, 0.019442854449152946, 0.019381161779165268, 0.01937820576131344, 0.019023235887289047];[0.052899401634931564, 0.035014692693948746, 0.03322994336485863, 0.02995729073882103, 0.027805088087916374, 0.027597688138484955, 0.026557577773928642, 0.027696382254362106, 0.02534792199730873, 0.026667432859539986, 0.026103084906935692, 0.026152228936553, 0.02426399663090706, 0.02445393241941929, 0.023913221433758736, 0.024218324571847916, 0.023839449509978294, 0.026349429041147232, 0.02441021241247654, 0.024987969547510147, 0.02455163188278675, 0.024668371304869652]
5;demand;mlp;0;{'hidden_layers': [32]};24;1.0;1;64;200;329;Adam;0.001;minmax;0.0199315547943115;17.883136510849;1133253.75;623.2333984375;535.7986450195312;0.0282279537025053;0.028652437031269;[0.06879361718893051, 0.026688242331147194, 0.023962220177054405, 0.02267429791390896, 0.02176157757639885, 0.02111377753317356, 0.020606037229299545, 0.020288588479161263, 0.02002238854765892, 0.019786497578024864, 0.019460709765553474, 0.019288117066025734, 0.019058864563703537, 0.018969055265188217, 0.018790556117892265, 0.01873461902141571, 0.018605263903737068, 0.01848744787275791, 0.018538031727075577, 0.018423305824398994, 0.018330000340938568, 0.018277473747730255, 0.01822378858923912, 0.018132202327251434, 0.0180966816842556, 0.018020277842879295, 0.01800198294222355, 0.018021179363131523, 0.01792890951037407, 0.017856359481811523];[0.037373851984739304, 0.029645318165421486, 0.028194760903716087, 0.027180397883057594, 0.027045663446187973, 0.025675836950540543, 0.02642660215497017, 0.026199720799922943, 0.025280790403485298, 0.026325786486268044, 0.025345096364617348, 0.025337960571050644, 0.024599485099315643, 0.025129739195108414, 0.024465329945087433, 0.024087857455015182, 0.02487216144800186, 0.02380608208477497, 0.024706874042749405, 0.024097047746181488, 0.023653173819184303, 0.024579117074608803, 0.024555057287216187, 0.023422880098223686, 0.0230711679905653, 0.02533722296357155, 0.02351859025657177, 0.023083273321390152, 0.023476488888263702, 0.023585960268974304]
6;demand;lstm;0;{'layers': 1, 'units': 128, 'return_sequence': False, 'recurrent_dropout': 0, 'dense_dropout': 0.2, 'dense_layers': [32, 64, 128]};24;2.0;1;32;200;657;Adam;0.001;minmax;0.0203754901885986;14.800339698791504;1149943.75;749.6328125;656.8026733398438;0.0325753144956438;0.0331667810678482;[0.03985465690493584, 0.020863963291049004, 0.019149968400597572, 0.01868586428463459, 0.01825995184481144, 0.01805201545357704, 0.017761697992682457, 0.017674583941698074];[0.030344050377607346, 0.02610560692846775, 0.02407749928534031, 0.02444678358733654, 0.025651488453149796, 0.024693096056580544, 0.026666665449738503, 0.028923310339450836]
7;demand;tcn;0;{'nb_stacks': 3, 'nb_filters': 64, 'dilations': [1, 2, 4, 8], 'kernel_size': 3, 'return_sequences': False, 'tcn_dropout': 0.2, 'dense_dropout': 0.2, 'dense_layers': [64, 32]};24;2.0;1;32;200;657;Adam;0.001;minmax;43.5512125492096;102.16615796089172;1064541.125;655.0106811523438;552.517578125;0.0288745974167747;0.02970009483397;[0.31435447931289673, 0.0396445170044899, 0.029276257380843163, 0.025324203073978424, 0.02317974343895912, 0.02194959484040737, 0.021170439198613167, 0.020433489233255386, 0.019746633246541023, 0.019472306594252586, 0.01925129070878029];[0.04231967777013779, 0.03142499923706055, 0.027603648602962494, 0.02670866809785366, 0.029447942972183228, 0.023778149858117104, 0.027590123936533928, 0.027143269777297974, 0.026046134531497955, 0.032835785299539566, 0.02433314174413681]
8;demand;mlp;0;{'hidden_layers': [32]};24;2.0;1;32;200;657;Adam;0.001;minmax;0.0064404010772705;21.25223970413208;1027574.75;621.49951171875;521.9851684570312;0.0273981512369442;0.0282083489000797;[0.05555011332035065, 0.02388754114508629, 0.02125309407711029, 0.02017819881439209, 0.019400885328650475, 0.018925191834568977, 0.018606919795274734, 0.018388180062174797, 0.01798427104949951, 0.017923282459378242, 0.017611883580684662, 0.01763545349240303, 0.017412438988685608, 0.017259474843740463, 0.01716240867972374, 0.01711202971637249, 0.01704782247543335, 0.01691862940788269, 0.01690281555056572];[0.032182734459638596, 0.028667032718658447, 0.02823925018310547, 0.025029540061950684, 0.025439957156777382, 0.024413838982582092, 0.023222103714942932, 0.024299541488289833, 0.023324910551309586, 0.02378460206091404, 0.024341583251953125, 0.022616716101765633, 0.022496066987514496, 0.022049948573112488, 0.023287048563361168, 0.022471332922577858, 0.022510405629873276, 0.02270273119211197, 0.023031316697597504]
9;demand;lstm;0;{'layers': 1, 'units': 128, 'return_sequence': False, 'recurrent_dropout': 0, 'dense_dropout': 0.2, 'dense_layers': [32, 64, 128]};24;2.0;1;64;200;329;Adam;0.001;minmax;0.0220406055450439;26.24421715736389;984984.4375;627.0447998046875;541.0060424804688;0.0276168161999603;0.0283231362700462;[0.051614902913570404, 0.02290913462638855, 0.020701417699456215, 0.019574834033846855, 0.018897581845521927, 0.018555689603090286, 0.018039004877209663, 0.01799836754798889, 0.01777433231472969, 0.017545858398079872, 0.017353985458612442, 0.017329992726445198, 0.017157521098852158, 0.016841024160385132, 0.017060667276382446, 0.01704876683652401, 0.016722047701478004, 0.016678208485245705, 0.01656268909573555, 0.016534052789211273, 0.016451161354780197, 0.016497410833835602, 0.016394909471273422, 0.016238659620285034, 0.01630294695496559, 0.01631021313369274, 0.016141006723046303, 0.016135036945343018, 0.01599225215613842, 0.015987196937203407];[0.03399284556508064, 0.029064403846859932, 0.026538223028182983, 0.026862679049372673, 0.02495729923248291, 0.02430088073015213, 0.025921707972884178, 0.024946268647909164, 0.023224126547574997, 0.0233327504247427, 0.026633379980921745, 0.022860081866383553, 0.022302253171801567, 0.027738409116864204, 0.021833544597029686, 0.023189915344119072, 0.021796967834234238, 0.02419029362499714, 0.02153981849551201, 0.02466774545609951, 0.022244349122047424, 0.023884369060397148, 0.021935883909463882, 0.02143384888768196, 0.02125626429915428, 0.02676922082901001, 0.027651485055685043, 0.02140001766383648, 0.0223375391215086, 0.023820549249649048]
