;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;mse;rmse;mae;wape;mape;LOSS;VAL_LOSS
0;demand;lr;0;(False, True, False);24;1.0;24;;;;Adam;;minmax;0.0006287097930908;0.0118820667266845;1083220.4;581.6717;502.98813;0.0267745159005069;0.02728767;;
1;demand;lr;0;(False, True, False);24;2.0;48;;;;Adam;;minmax;0.0053350925445556;0.0201096534729003;955023.4375;544.9983520507812;463.4439086914063;0.0247863358766856;0.0255140401422977;;
2;demand;lr;0;(False, True, False);24;3.0;72;;;;Adam;;minmax;0.003145694732666;0.0264341831207275;902146.25;535.901611328125;454.173583984375;0.0243412871623862;0.02512863650918;;
3;demand;lr;0;(False, True, False);24;4.0;96;;;;Adam;;minmax;0.0010991096496582;0.0347430706024169;901062.75;534.4752807617188;452.8798522949219;0.0242811513811873;0.0251246336847543;;
4;demand;lr;0;(False, True, False);24;5.0;120;;;;Adam;;minmax;0.0011491775512695;0.0443916320800781;893241.5;532.516845703125;450.8757934570313;0.0241652463418647;0.0250122975558042;;
5;demand;lr;0;(False, True, False);24;6.0;144;;;;Adam;;minmax;0.0013728141784667;0.0544171333312988;894859.0625;535.22607421875;453.0204772949219;0.02427982212386;0.025122083723545;;
6;demand;lr;0;(False, True, False);24;7.0;168;;;;Adam;;minmax;0.0014874935150146;0.0660717487335205;897856.9375;537.4002685546875;455.44970703125;0.0244095815241104;0.0252410806715488;;
7;demand;rf;0;(300, 10, 4, 1);24;1.0;24;;;;Adam;;minmax;0.0550827980041503;3.5976507663726807;1777894.513164214;1004.7917852780238;870.3463816479953;0.0403121777768727;0.040827589670516;;
8;demand;rf;0;(300, 10, 4, 1);24;2.0;48;;;;Adam;;minmax;0.053830862045288;7.038683652877808;1783794.1698942352;1008.7026783542982;874.9127685881691;0.0405555960545018;0.0410886558772792;;
9;demand;rf;0;(300, 10, 4, 1);24;3.0;72;;;;Adam;;minmax;0.0534083843231201;13.805906295776367;1786500.4476284666;1012.1648180820056;879.3987378319144;0.0407594039298903;0.0412822498833058;;
10;demand;rf;0;(300, 10, 4, 1);24;4.0;96;;;;Adam;;minmax;0.1540949344635009;23.40795588493347;1787945.4668239844;1014.7812988181626;882.0955289953943;0.0408845468768106;0.0414018601231575;;
11;demand;rf;0;(300, 10, 4, 1);24;5.0;120;;;;Adam;;minmax;0.481217622756958;33.23644137382507;1802334.5787229992;1020.7688093942656;887.2237820266922;0.0410976733410236;0.0415994146913194;;
12;demand;rf;0;(300, 10, 4, 1);24;6.0;144;;;;Adam;;minmax;0.4841153621673584;37.48356556892395;1816157.1113639327;1026.9918065117806;892.7668256496454;0.0413588792273961;0.0418595162937011;;
13;demand;rf;0;(300, 10, 4, 1);24;7.0;168;;;;Adam;;minmax;0.6398591995239258;44.11879467964173;1824804.646835432;1028.9190390458375;893.9624432605596;0.041408340127248;0.041908511685329;;
14;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);24;1.0;24;;;;Adam;;minmax;0.0862448215484619;5291.771600961685;1405847.125;797.060302734375;662.6270751953125;0.0303837107446087;0.0310966409742832;;
15;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);24;2.0;48;;;;Adam;;minmax;0.0871851444244384;4134.242987394333;1420857.75;781.875;655.0540771484375;0.0300942803782152;0.0304483734071254;;
16;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);24;3.0;72;;;;Adam;;minmax;0.1002559661865234;3982.108380079269;1381567.125;783.470947265625;661.18994140625;0.0304833210217601;0.030733585357666;;
17;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);24;4.0;96;;;;Adam;;minmax;0.0954859256744384;4291.005926132202;1465918.5;816.2758178710938;690.2019653320312;0.031835606450183;0.0321453101933002;;
18;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);24;5.0;120;;;;Adam;;minmax;0.0959308147430419;4329.236051797867;1627842.5;872.1356201171875;737.7351684570312;0.0339110310536873;0.0341706350445747;;
19;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);24;6.0;144;;;;Adam;;minmax;0.0979220867156982;4517.39452457428;1691087.875;898.167724609375;761.9105834960938;0.0350616014410842;0.0352416634559631;;
20;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);24;7.0;168;;;;Adam;;minmax;0.052194595336914;3855.988460302353;1768986.25;928.5308837890624;794.60205078125;0.0364515508616241;0.0365054197609424;;
21;demand;lr;0;(False, True, False);48;0.5;24;;;;Adam;;minmax;0.0008656978607177;0.0171425342559814;1802788.0;810.27978515625;685.283935546875;0.036443421825718;0.0371863730251789;;
22;demand;lr;0;(False, True, False);48;1.0;48;;;;Adam;;minmax;0.0021276473999023;0.0254158973693847;1630950.25;773.3018188476562;648.7146606445312;0.0345920168871322;0.0355091616511344;;
23;demand;lr;0;(False, True, False);48;1.5;72;;;;Adam;;minmax;0.0011913776397705;0.0336873531341552;1592370.625;766.1099853515625;643.1998901367188;0.0343259972219931;0.0353213287889957;;
24;demand;lr;0;(False, True, False);48;2.0;96;;;;Adam;;minmax;0.0013315677642822;0.0423541069030761;1594239.125;766.605712890625;643.912109375;0.0343682121421368;0.0354134403169155;;
25;demand;lr;0;(False, True, False);48;2.5;120;;;;Adam;;minmax;0.0015058517456054;0.0523831844329834;1593819.0;767.8873291015625;644.3848266601562;0.0343648618909346;0.0354093015193939;;
26;demand;lr;0;(False, True, False);48;3.0;144;;;;Adam;;minmax;0.0016448497772216;0.0619561672210693;1594904.75;771.1242065429688;647.1178588867188;0.0344858546684182;0.0355147533118724;;
27;demand;lr;0;(False, True, False);48;3.5;168;;;;Adam;;minmax;0.0017783641815185;0.0764575004577636;1594975.625;773.5811157226562;649.7903442382812;0.0346292654947773;0.0356469862163066;;
28;demand;rf;0;(300, 10, 4, 1);48;0.5;24;;;;Adam;;minmax;0.0847551822662353;4.862180948257446;2391115.4951805966;1167.1077447591958;1002.5959010502572;0.0475612213020482;0.0481947174208632;;
29;demand;rf;0;(300, 10, 4, 1);48;1.0;48;;;;Adam;;minmax;0.0825276374816894;9.438210248947144;2360015.474890167;1165.338777432612;1003.584617163784;0.0476644151274211;0.048279952349466;;
30;demand;rf;0;(300, 10, 4, 1);48;1.5;72;;;;Adam;;minmax;0.0785701274871826;13.58523654937744;2347167.4001935623;1170.5243035255262;1009.9277953518662;0.0479023785870621;0.0484573613651155;;
31;demand;rf;0;(300, 10, 4, 1);48;2.0;96;;;;Adam;;minmax;0.0859479904174804;18.12318778038025;2360747.706138294;1177.735106965213;1016.4077412981547;0.0481680754844502;0.0487140715411705;;
32;demand;rf;0;(300, 10, 4, 1);48;2.5;120;;;;Adam;;minmax;0.0821967124938964;27.38916850090027;2368809.028238121;1183.015022502991;1020.2295629415944;0.0483155913285018;0.0488444712937136;;
33;demand;rf;0;(300, 10, 4, 1);48;3.0;144;;;;Adam;;minmax;0.5940442085266113;49.75101399421692;2385237.5921161706;1185.5321868367853;1022.2059209034048;0.0484246355356193;0.0489666467752288;;
