;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;mse;rmse;mae;wape;mape;LOSS;VAL_LOSS
0;supply;lstm;0;{'layers': 1, 'units': 64, 'return_sequence': False, 'recurrent_dropout': 0, 'dense_dropout': 0.2, 'dense_layers': [32, 64, 128, 64, 32]};24;1.0;1;32;200;658;Adam;0.001;minmax;0.0293545722961425;54.80975961685181;961336.25;711.7715;585.0637;0.0415993002302254;0.043223582;[0.06499989330768585, 0.033020492643117905, 0.03148472309112549, 0.031069215387105942, 0.03057745471596718, 0.030381236225366592, 0.030140822753310204, 0.02991902269423008, 0.029816260561347008, 0.029782727360725403, 0.029575064778327942, 0.029620999470353127, 0.029372895136475563, 0.02940726839005947, 0.029382305219769478, 0.029226476326584816, 0.02913755178451538, 0.0291474387049675, 0.02898227982223034, 0.029045401141047478, 0.029209541156888008, 0.029072007164359093, 0.028888462111353874, 0.028913570567965508, 0.02886391244828701, 0.02891175076365471, 0.028817346319556236, 0.028768787160515785];[0.04912085086107254, 0.04826982691884041, 0.0462663359940052, 0.0464264377951622, 0.04559943452477455, 0.045243069529533386, 0.04359998181462288, 0.044337622821331024, 0.04487081244587898, 0.04340501129627228, 0.04376412183046341, 0.04309441149234772, 0.043491918593645096, 0.04310547932982445, 0.04413753002882004, 0.04281918704509735, 0.04269063472747803, 0.043115876615047455, 0.0434345081448555, 0.04313642904162407, 0.04576023295521736, 0.04265346750617027, 0.042465195059776306, 0.04260328412055969, 0.043573442846536636, 0.045240093022584915, 0.043538063764572144, 0.04564932733774185]
1;supply;tcn;0;{'nb_stacks': 3, 'nb_filters': 64, 'dilations': [1, 2, 4, 8], 'kernel_size': 6, 'return_sequences': True, 'tcn_dropout': 0, 'dense_dropout': 0, 'dense_layers': [32, 64]};24;1.0;1;32;200;658;Adam;0.001;minmax;0.060685396194458;141.26522779464722;976933.625;715.4325561523438;578.8704223632812;0.0414969097018192;0.0430977456271648;[0.05431874096393585, 0.03300762176513672, 0.03218231722712517, 0.031833257526159286, 0.03163478896021843, 0.031470730900764465, 0.031075695529580116, 0.030888454988598824, 0.03110116347670555, 0.0309380404651165, 0.030633442103862762, 0.03087395802140236];[0.052467841655015945, 0.05216553062200546, 0.04723431542515755, 0.04536118358373642, 0.04519457742571831, 0.045776914805173874, 0.04477696120738983, 0.04591204971075058, 0.04593207687139511, 0.04559459537267685, 0.04752487316727638, 0.04516109451651573]
2;supply;mlp;0;{'hidden_layers': [32, 64]};24;1.0;1;32;200;658;Adam;0.001;minmax;0.0083656311035156;20.68888688087464;999371.5625;709.0023193359375;571.7158813476562;0.041200121631894;0.0430712923407554;[0.05511990934610367, 0.03290436789393425, 0.03184351697564125, 0.031199393793940544, 0.030898939818143845, 0.030674384906888008, 0.030748240649700165, 0.03053462877869606, 0.030550500378012657, 0.030425546690821648, 0.030429303646087646, 0.030307263135910034, 0.030296849086880684, 0.030307607725262642, 0.030194571241736412, 0.030272360891103745, 0.030088510364294052];[0.05150892958045006, 0.04847724363207817, 0.047550637274980545, 0.04523744061589241, 0.04478584602475166, 0.04545776546001434, 0.044920362532138824, 0.04616307467222214, 0.04459362104535103, 0.04591549187898636, 0.04494267702102661, 0.044468846172094345, 0.04475056380033493, 0.04505561292171478, 0.045101597905159, 0.04462077096104622, 0.0445857048034668]
3;supply;lstm;0;{'layers': 1, 'units': 64, 'return_sequence': False, 'recurrent_dropout': 0, 'dense_dropout': 0.2, 'dense_layers': [32, 64, 128, 64, 32]};24;1.0;1;32;200;658;Adam;0.01;minmax;0.0206518173217773;41.54189610481262;945244.5;719.96533203125;593.837158203125;0.0417389731004745;0.0433984361588954;[0.04277299717068672, 0.03341149911284447, 0.033031828701496124, 0.03202659636735916, 0.031425368040800095, 0.03129445016384125, 0.03111942484974861, 0.031104063615202904, 0.030749354511499405, 0.03110734187066555, 0.030388042330741882, 0.030851945281028748, 0.031018029898405075, 0.030315246433019638, 0.030324039980769157, 0.02997356653213501, 0.030221717432141304, 0.03006281517446041, 0.0299444068223238, 0.029844319447875023, 0.02991446852684021, 0.02984337881207466, 0.02966456674039364, 0.02974795550107956, 0.030126351863145828, 0.02971242368221283];[0.05366948992013931, 0.04578494653105736, 0.04616984352469444, 0.04576106742024422, 0.04517783224582672, 0.04579075053334236, 0.061239928007125854, 0.04483829811215401, 0.047636836767196655, 0.04410582035779953, 0.0440867617726326, 0.04503890872001648, 0.046918198466300964, 0.047272633761167526, 0.04363928362727165, 0.04514165595173836, 0.043991971760988235, 0.04542703926563263, 0.04319291189312935, 0.04491047561168671, 0.0428607314825058, 0.04854236915707588, 0.046843722462654114, 0.0430295392870903, 0.04441406950354576, 0.04633265733718872]
4;supply;tcn;0;{'nb_stacks': 3, 'nb_filters': 64, 'dilations': [1, 2, 4, 8], 'kernel_size': 6, 'return_sequences': True, 'tcn_dropout': 0, 'dense_dropout': 0, 'dense_layers': [32, 64]};24;1.0;1;32;200;658;Adam;0.01;minmax;0.0617432594299316;74.28248405456543;1386644.625;939.498779296875;788.9857177734375;0.0554956694974328;0.0578361898660659;[0.4109611213207245, 0.035203684121370316, 0.035145848989486694, 0.034363023936748505, 0.0343342162668705, 0.03474694490432739, 0.03484874591231346, 0.034601546823978424];[0.04929535835981369, 0.04959479719400406, 0.04738706350326538, 0.049796391278505325, 0.04809759557247162, 0.054833438247442245, 0.047421786934137344, 0.061566539108753204]
5;supply;mlp;0;{'hidden_layers': [32, 64]};24;1.0;1;32;200;658;Adam;0.01;minmax;0.0080230236053466;18.36592745780945;1029549.875;739.3101196289062;603.0694580078125;0.0433415895119992;0.0453051552176475;[0.043910373002290726, 0.0364282950758934, 0.03518487513065338, 0.03480718284845352, 0.034050989896059036, 0.03387938812375069, 0.03346746787428856, 0.033418551087379456, 0.03359592705965042, 0.03324718028306961, 0.03320811316370964, 0.03300165385007858, 0.03240529075264931, 0.03333384916186333, 0.032444220036268234];[0.05432945489883423, 0.05309499427676201, 0.05489562079310417, 0.04722341522574425, 0.049901291728019714, 0.0514862984418869, 0.05131910368800163, 0.047434769570827484, 0.04652221128344536, 0.04474030062556267, 0.04649646580219269, 0.047866422683000565, 0.05135906860232353, 0.05148658528923988, 0.04705221578478813]
6;supply;lstm;0;{'layers': 1, 'units': 64, 'return_sequence': False, 'recurrent_dropout': 0, 'dense_dropout': 0.2, 'dense_layers': [32, 64, 128, 64, 32]};24;2.0;1;32;200;657;Adam;0.001;minmax;0.0198698043823242;28.335060358047485;869003.5;681.9466552734375;558.2548217773438;0.0399085384296224;0.0416454710066318;[0.05596064403653145, 0.03171147406101227, 0.030941864475607872, 0.03019602969288826, 0.02989429235458374, 0.02955986000597477, 0.029483994469046593, 0.0294162780046463, 0.029135441407561302, 0.029204346239566803, 0.029020056128501892, 0.029061833396553993, 0.028952252119779587, 0.02894074097275734, 0.02893150970339775, 0.028729431331157684, 0.028721878305077553];[0.04864821583032608, 0.044692687690258026, 0.045542750507593155, 0.0433267317712307, 0.046506453305482864, 0.04313068836927414, 0.04259607940912247, 0.042409613728523254, 0.043418750166893005, 0.042384445667266846, 0.042334407567977905, 0.04205390810966492, 0.042106762528419495, 0.04232845455408096, 0.043303001672029495, 0.04247608780860901, 0.04354998841881752]
7;supply;tcn;0;{'nb_stacks': 3, 'nb_filters': 64, 'dilations': [1, 2, 4, 8], 'kernel_size': 6, 'return_sequences': True, 'tcn_dropout': 0, 'dense_dropout': 0, 'dense_layers': [32, 64]};24;2.0;1;32;200;657;Adam;0.001;minmax;0.0606226921081543;112.2489242553711;890542.75;690.6278686523438;563.13330078125;0.0404692649570116;0.042169377207756;[0.05838509649038315, 0.03303312137722969, 0.03211244195699692, 0.03158150613307953, 0.0313771516084671, 0.03106102906167507, 0.031097032129764557, 0.03063529171049595, 0.030596526339650154, 0.03048286773264408, 0.030556634068489075, 0.030397463589906693, 0.030332151800394058];[0.046861760318279266, 0.04984233155846596, 0.04576864838600159, 0.04565836489200592, 0.04548231139779091, 0.0438719242811203, 0.045932430773973465, 0.04350973665714264, 0.04355768486857414, 0.043848685920238495, 0.04579886794090271, 0.04433198273181915, 0.04394960403442383]
8;supply;mlp;0;{'hidden_layers': [32, 64]};24;2.0;1;32;200;657;Adam;0.001;minmax;0.0081286430358886;22.62582492828369;916344.3125;715.2784423828125;586.7974853515625;0.0417430456374509;0.0433443337678909;[0.05126488208770752, 0.03280436992645264, 0.031408924609422684, 0.031078627333045006, 0.030642881989479065, 0.030521711334586143, 0.030372558161616325, 0.030275695025920868, 0.030248120427131653, 0.030005792155861855, 0.029999999329447746, 0.029989374801516533, 0.029820173978805542, 0.030005604028701782, 0.02988870069384575, 0.029878536239266396, 0.029647981747984886, 0.029739845544099808, 0.02974739298224449];[0.048737216740846634, 0.047598209232091904, 0.046684544533491135, 0.04540327563881874, 0.044784873723983765, 0.047275617718696594, 0.04698809236288071, 0.04387672245502472, 0.04468665271997452, 0.044137705117464066, 0.0432688444852829, 0.04454902186989784, 0.04319221153855324, 0.04278505593538284, 0.043405529111623764, 0.04619936645030975, 0.04474768415093422, 0.04408777505159378, 0.04573601856827736]
9;supply;lstm;0;{'layers': 1, 'units': 64, 'return_sequence': False, 'recurrent_dropout': 0, 'dense_dropout': 0.2, 'dense_layers': [32, 64, 128, 64, 32]};24;2.0;1;32;200;657;Adam;0.01;minmax;0.0198822021484375;23.584123611450195;929514.9375;725.2340087890625;594.4255981445312;0.042576443656139;0.04456178098917;[0.042803388088941574, 0.03445742651820183, 0.03300071507692337, 0.03268933296203613, 0.03236689418554306, 0.032378219068050385, 0.0316021554172039, 0.03132736310362816, 0.03132278844714165, 0.03169732913374901, 0.030943864956498146, 0.031199008226394653, 0.030676344409585, 0.030967887490987778];[0.04902898520231247, 0.05104072019457817, 0.05868545547127724, 0.046580031514167786, 0.04647013917565346, 0.052936531603336334, 0.05039879307150841, 0.04648663476109505, 0.04512409493327141, 0.04695344343781471, 0.04818692058324814, 0.04687619209289551, 0.048349395394325256, 0.04637891799211502]
