;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;mse;rmse;mae;wape;mape;LOSS;VAL_LOSS
0;supply;lr;0;(False, True, False);24;1.0;24;;;;Adam;;minmax;0.0239393711090087;0.0161895751953125;943822.6;682.9484;548.61005;0.0395960939541627;0.041359346;;
1;supply;lr;0;(False, True, False);24;2.0;48;;;;Adam;;minmax;0.0171883106231689;0.6060924530029297;854748.375;656.40087890625;529.679443359375;0.0382917012320811;0.0400638505816459;;
2;supply;lr;0;(False, True, False);24;3.0;72;;;;Adam;;minmax;0.0198211669921875;0.5702507495880127;831635.375;647.6702270507812;523.4070434570312;0.0377983693272614;0.0395400896668434;;
3;supply;lr;0;(False, True, False);24;4.0;96;;;;Adam;;minmax;0.0614714622497558;0.6305253505706787;820456.875;638.5701904296875;516.3806762695312;0.0372979024322729;0.0390615500509738;;
4;supply;lr;0;(False, True, False);24;5.0;120;;;;Adam;;minmax;0.0691688060760498;2.448328256607056;816745.0625;638.2174682617188;515.9970703125;0.0372748133575249;0.0390563234686851;;
5;supply;lr;0;(False, True, False);24;6.0;144;;;;Adam;;minmax;0.0385289192199707;2.4406380653381348;819814.3125;639.7691650390625;517.46337890625;0.0373587717655647;0.0391597710549831;;
6;supply;lr;0;(False, True, False);24;7.0;168;;;;Adam;;minmax;0.0199768543243408;0.927520751953125;823071.5625;640.5274047851562;518.4309692382812;0.0374239934077591;0.0392246805131435;;
7;supply;rf;0;(300, 10, 2, 3);24;1.0;24;;;;Adam;;minmax;0.305546760559082;7.2238686084747314;936778.6666552572;720.2302376731905;609.3076076789296;0.0416412038699146;0.043396075670565;;
8;supply;rf;0;(300, 10, 2, 3);24;2.0;48;;;;Adam;;minmax;0.1332263946533203;14.191123723983765;911437.5917957684;714.0580341737178;604.6331038422585;0.0412551941095999;0.0429798318951005;;
9;supply;rf;0;(300, 10, 2, 3);24;3.0;72;;;;Adam;;minmax;0.1078777313232421;17.855401515960693;909258.2205968796;714.9388412550771;606.2347875232059;0.0413204424788588;0.0430458153586585;;
10;supply;rf;0;(300, 10, 2, 3);24;4.0;96;;;;Adam;;minmax;0.5221054553985596;24.25482678413391;912878.9319703556;717.2786583209357;608.4984985198388;0.0414482260008703;0.0431753219038717;;
11;supply;rf;0;(300, 10, 2, 3);24;5.0;120;;;;Adam;;minmax;0.4298582077026367;30.970686197280884;906365.3867636644;716.8145828354246;608.2583127077626;0.0414367222660113;0.0431604949267037;;
12;supply;rf;0;(300, 10, 2, 3);24;6.0;144;;;;Adam;;minmax;0.0701844692230224;40.066818952560425;926628.8811094648;726.4941907929451;617.9252377287904;0.0419984511238346;0.043730960984549;;
13;supply;rf;0;(300, 10, 2, 3);24;7.0;168;;;;Adam;;minmax;0.0980908870697021;31.75954985618592;947477.3831350728;736.4519877749783;627.9886299858402;0.0425813322927952;0.0443172826411472;;
14;supply;xgb;0;('gbtree', 300, 10, 0.8, 0.5, 6);24;1.0;24;;;;Adam;;minmax;0.0981159210205078;5058.306853532791;920911.0;680.0304565429688;572.251708984375;0.0374496101597061;0.0388555079698562;;
15;supply;xgb;0;('gbtree', 300, 10, 0.8, 0.5, 6);24;2.0;48;;;;Adam;;minmax;0.0908505916595459;3937.03131890297;853411.625;623.4760131835938;514.170166015625;0.0342849654846884;0.0357211828231811;;
16;supply;xgb;0;('gbtree', 300, 10, 0.8, 0.5, 6);24;3.0;72;;;;Adam;;minmax;0.0883536338806152;4005.814582586289;848551.25;619.2673950195312;509.267578125;0.0339013855744501;0.0352859422564506;;
17;supply;xgb;0;('gbtree', 300, 10, 0.8, 0.5, 6);24;4.0;96;;;;Adam;;minmax;0.0901861190795898;4132.32058596611;889692.25;644.177490234375;533.3848266601562;0.0351849306727796;0.0365492962300777;;
18;supply;xgb;0;('gbtree', 300, 10, 0.8, 0.5, 6);24;5.0;120;;;;Adam;;minmax;0.0960607528686523;4181.450886249542;930461.75;673.4649658203125;561.43212890625;0.0367421986697073;0.0380745232105255;;
19;supply;xgb;0;('gbtree', 300, 10, 0.8, 0.5, 6);24;6.0;144;;;;Adam;;minmax;0.1088030338287353;4513.58650636673;1126261.125;762.759033203125;650.1282958984375;0.0417582239284058;0.0430613942444324;;
20;supply;xgb;0;('gbtree', 300, 10, 0.8, 0.5, 6);24;7.0;168;;;;Adam;;minmax;0.0955820083618164;4520.730463027954;1330560.375;832.6375122070312;718.9174194335938;0.0456521000199238;0.046922530978918;;
21;supply;lr;0;(False, True, False);48;0.5;24;;;;Adam;;minmax;0.0381438732147216;0.0242805480957031;1244022.375;819.7863159179688;653.5809326171875;0.0469834786131693;0.0494113154709339;;
22;supply;lr;0;(False, True, False);48;1.0;48;;;;Adam;;minmax;0.063164472579956;1.9492902755737305;1145044.25;794.0603637695312;635.2987060546875;0.0456843711815513;0.0481084622442722;;
23;supply;lr;0;(False, True, False);48;1.5;72;;;;Adam;;minmax;0.0547208786010742;2.399561643600464;1115436.625;781.5335083007812;625.5648803710938;0.0449391493544596;0.047342412173748;;
24;supply;lr;0;(False, True, False);48;2.0;96;;;;Adam;;minmax;0.0445883274078369;1.7198927402496338;1104332.5;775.0648803710938;620.2901000976562;0.0445563589423515;0.0469905585050582;;
25;supply;lr;0;(False, True, False);48;2.5;120;;;;Adam;;minmax;0.0703256130218505;4.768913507461548;1105342.5;776.5650634765625;621.3151245117188;0.0446202204366932;0.0470894947648048;;
