;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;mse;rmse;mae;wape;mape;LOSS;VAL_LOSS
0;supply;xgb;0;('gbtree', 100, 1, 0.5, 0.5, 3);24;3.0;1;;;;Adam;;minmax;0.0249271392822265;288.4434447288513;964179.9;760.1384;633.99347;0.0432737454403007;0.044960506;;
1;supply;xgb;1;('gbtree', 100, 1, 0.5, 0.5, 4);24;3.0;1;;;;Adam;;minmax;0.0280871391296386;460.9041607379913;1020754.2;777.1449;647.3421;0.0436022201853689;0.04522092;;
2;supply;xgb;2;('gbtree', 100, 1, 0.5, 0.5, 5);24;3.0;1;;;;Adam;;minmax;0.0303812026977539;368.7105600833893;1018557.8;767.69165;636.9076;0.042602004625875;0.044160165;;
3;supply;xgb;3;('gbtree', 100, 1, 0.5, 0.5, 6);24;3.0;1;;;;Adam;;minmax;0.0473501682281494;653.9735682010651;1036096.8;764.11304;635.2054;0.042069804653801;0.043562345;;
4;supply;xgb;4;('gbtree', 100, 1, 0.5, 0.6, 3);24;3.0;1;;;;Adam;;minmax;0.0240256786346435;194.02118921279907;962504.8;757.7434;631.18005;0.0431090468631903;0.044794895;;
5;supply;xgb;5;('gbtree', 100, 1, 0.5, 0.6, 4);24;3.0;1;;;;Adam;;minmax;0.0130391120910644;212.758095741272;1015210.94;774.13214;642.42523;0.0433181736364368;0.044917963;;
6;supply;xgb;6;('gbtree', 100, 1, 0.5, 0.6, 5);24;3.0;1;;;;Adam;;minmax;0.0304820537567138;347.4461190700531;1053239.2;780.6146;646.84436;0.0431382858238801;0.044671472;;
7;supply;xgb;7;('gbtree', 100, 1, 0.5, 0.6, 6);24;3.0;1;;;;Adam;;minmax;0.0340163707733154;789.533891916275;1023520.8;757.6938;625.2832;0.0415147256625322;0.04299845;;
8;supply;xgb;8;('gbtree', 100, 1, 0.5, 0.8, 3);24;3.0;1;;;;Adam;;minmax;0.0224428176879882;304.9671709537506;941951.5;746.66077;622.8265;0.0425896903230257;0.044262793;;
9;supply;xgb;9;('gbtree', 100, 1, 0.5, 0.8, 4);24;3.0;1;;;;Adam;;minmax;0.0235626697540283;385.4415957927704;990611.0;763.2876;633.2775;0.0427247367410533;0.04432193;;
